id,name,category,has_coords,visitor_ready,dwell_minutes,setting,good_for,booking,note,proposed_by,source_url,their_description
32c67bbf-6873-430d-b442-6b8272ece482,Spiggie Hotel,accommodation,yes,false,,,,,,rules,,
bfe727e1-b531-4976-a5cb-fe16503f1352,Weisdale Mill,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
9a4c3a1a-d8d4-4624-9b61-4d457022b4b5,Wind Lodge Bod,accommodation,yes,false,,,,,,rules,,
8e3ff71c-1442-405e-84c3-0de4eff64c99,Anderson & Co,retail,NO — cannot be planned,true,30,indoor,,,,rules,,"Anderson & Co is a long-established family business specialising in Shetland knitwear, crafts, and children’s clothing. Founded in 1873, the shop produces and s"
807af91b-3d54-4901-84ed-08853cf44e7f,Final Checkout Cafe,food_drink,yes,true,30,indoor,,,,fsa:Retailers - other,,
e437ef9b-afb2-4692-bff9-2ad81257c53c,Bobby's Bus Shelter,tourism,yes,true,60,both,proper_visit,,,rules,,
817dff04-b50c-4362-a5f4-902df47ca801,Baltasound Hotel & Restarant,accommodation,yes,false,,,,,,fsa:Hotel/bed & breakfast/guest house,,
5cd3812d-b8b3-47b6-9249-1c7bc28e36d4,Hendersons Store (Ethel's),retail,yes,true,30,indoor,,,,rules,,
b88efc29-1053-4b83-b766-84d02c6e4a4c,Viking Longship,tourism,yes,true,60,both,proper_visit,,,rules,,
83737693-fa8e-40b3-863c-c622354517f8,Foords Chocolates,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
2b25ed25-4678-48a8-86b0-4734e38286eb,Fetlar General Merchants,retail,yes,true,30,indoor,,,,fsa:Retailers - other,,
d6b3f683-e817-4bb9-bc46-dd081d53f346,Braewick Caravan Park,accommodation,yes,false,,,,,,rules,,
d840c7ff-0942-45b5-b9fd-63b5e9467cc7,The Bixter Shop,retail,yes,true,30,indoor,,,,fsa:Retailers - other,,
cc1b55d7-e0e1-4a05-a9b5-fa91b67e0b53,Robertson & Morrison,services,yes,false,,,,,,rules,,
6b4a7381-6f73-43e7-98d3-dccad608ae3f,Barclay Arms,accommodation,yes,false,,,,,,rules,,
d5824d15-322b-4870-b067-eb0d2eaef609,Mainlands,retail,yes,true,30,indoor,,,,fsa:Retailers - other,,
f678fe06-dabf-4036-85fd-77d6fe765214,Bressay Post Office,services,yes,false,,,,,,rules,,
bacea841-495b-4828-9381-53e3fe41ed95,The Sail Loft,accommodation,yes,false,,,,,,rules,,
67df91e6-08e4-4f7f-9e46-cb128d2307f2,Betty Mouat's Camping Böd,accommodation,yes,false,,,,,,rules,,
0a59867a-f107-4854-8195-d3ad645b009d,The Checkout,retail,yes,true,30,indoor,,,,rules,,
77a8dc3e-1232-488a-8b8f-c61b8a73f914,Scalloway Meat Company,retail,yes,false,,,,,,fsa:Manufacturers/packers,,
e6e0ccc8-b0f8-4d7e-adaf-e14d6b69333c,One-stop,retail,yes,true,30,indoor,,,,rules,,
fcbabe03-cf62-4433-bf52-7b734d3a985d,Frank Williamson,retail,yes,true,30,indoor,,,,rules,,
205c7be2-26fc-47c0-9e82-8990f0d81466,Freefield Post Office,services,yes,false,,,,,,rules,,
4d16f76c-6763-47f7-99c3-d197c4a68d04,Scoop Wholefoods,retail,yes,true,30,indoor,,,,fsa:Retailers - other,,
098ea1a1-9573-41dd-80e4-968a9a33d099,Bolts Filling Station,services,yes,false,,,,,,rules,,
2f65faaa-8f4e-46cc-8448-8ee81fad04e0,Heima,retail,yes,true,30,indoor,,,,rules,,
077706ac-fa12-41c6-b356-90c0a2bc40ff,Freefield Pharmacy,services,yes,false,,,,,,rules,,
97839993-02b1-4e33-b4e9-3197d49e749e,Alex Morrisons,retail,yes,true,30,indoor,,,,fsa:Retailers - other,,
fda30a7d-121a-4c16-b2a9-e558bf4ea347,Happy Haddock,food_drink,yes,true,15,indoor,quick_stop,,,fsa:Takeaway/sandwich shop,,
fdc98314-ce95-4825-a919-307a23050671,Anderson Globe,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
fc22a37d-e96a-4a44-8371-e66757cbda65,Tasty Hong Kong Takeaway,food_drink,yes,true,15,indoor,quick_stop,,,fsa:Takeaway/sandwich shop,,
b62f6a07-624b-4ec6-a4a9-d57dc512849e,Himalayan Lounge,food_drink,yes,true,60,indoor,food_on_site,,,fsa:Restaurant/Cafe/Canteen,,Every sunday all day buffet
23e07592-89df-45df-a4f4-3c26bd4b726f,Trench Bar,food_drink,yes,true,60,indoor,food_on_site,,,fsa:Pub/bar/nightclub,,
47a1bc77-2884-4b50-b845-070c29d5838a,Baltasound Post Office,services,yes,false,,,,,,rules,,
2447e94b-c03b-42f8-b619-605dd3695926,Skibhoull Stores,services,yes,false,,,,,,rules,,
427b2c68-1019-426b-b08d-9368b498a0a2,Victoria's Vintage Tea Rooms,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
2e0e97db-afc5-4d96-9249-d4776df8776f,Walls Post Office,services,yes,false,,,,,,rules,,
94c96433-1f38-4aeb-ac9e-1a53f28fd6fd,Hay's Dock,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
c0e14a60-ae4d-4a41-8b3e-f06267e95f5c,Lerwick Post Office,services,yes,false,,,,,,rules,,
cb221a6d-a283-4fcc-9016-8a75e564707d,Scalloway Post Office,services,yes,false,,,,,,rules,,
ae711888-1e9a-4306-8247-82f76fdc0740,Skerries Post Office,services,yes,false,,,,,,rules,,
36969259-ef78-450a-b508-052a9b78394f,Aith Post Office,services,yes,false,,,,,,rules,,
7de2bf92-4c66-4abb-bf1b-5f9296649b03,The Lerwick Hotel,accommodation,yes,false,,,,,,fsa:Hotel/bed & breakfast/guest house,,
76225069-e8dd-4f35-b4df-6ef5a597bcc1,Ollaberry Post Office,services,yes,false,,,,,,rules,,
efc68724-80ff-44f8-a488-aa9a7314670b,Ulsta Post Office,services,yes,false,,,,,,rules,,
6b3835a7-e5ff-4757-937c-49596479ceb1,Burravoe Post Office,services,yes,false,,,,,,rules,,
5ff6e41c-a5ef-403c-833d-c44f4f3c1187,Fetlar Post Office,services,yes,false,,,,,,rules,,
1caf7e07-ff38-4b28-80be-708aa700168e,Symbister Post Office,services,yes,false,,,,,,rules,,
7b8cb56e-e245-4b60-bacc-d7182aa86710,Bixter Post Office,services,yes,false,,,,,,rules,,
9162717a-4fb9-464d-9f2b-67f2ec7dc206,Clickimin Cafe,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
b68c6969-8f89-479b-8e7a-83c63bfe7e12,Islesburgh Cafe,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
bc859f3d-24c7-4a68-9387-3567457fd913,Spar,retail,yes,true,30,indoor,,,,rules,,
979e9774-7a51-47d6-98e0-e116388fb8e0,Sandwick Bakery,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
4fa4d54b-665b-4950-bf88-87be6fa370e6,Brucefield Stores,retail,yes,true,30,indoor,,,,rules,,
fc963285-873d-4d45-834d-3f6b7ecebbce,Scalloway Hotel,accommodation,yes,false,,,,,,fsa:Hotel/bed & breakfast/guest house,,
93d0b287-629a-4d5b-81b8-f2cb4915e50f,Alder Lodge,accommodation,yes,false,,,,,,fsa:Hotel/bed & breakfast/guest house,,
b49e1223-fd95-4e67-acba-1cbc692c6b8a,Douglas Arms,food_drink,yes,true,60,indoor,food_on_site,,,fsa:Pub/bar/nightclub,,
f179a7b4-56fa-4b53-8ef0-45e74543a612,Eddlewood,accommodation,yes,false,,,,,,fsa:Hotel/bed & breakfast/guest house,,
beb9b6e7-5a7f-40a5-9e50-e36673b609cf,Gurkha Kitchen,food_drink,yes,true,60,indoor,food_on_site,,,fsa:Restaurant/Cafe/Canteen,,
4082d226-3e28-45ec-9d24-bc64d148bb5e,Kveldsro House Hotel,accommodation,yes,false,,,,,,fsa:Hotel/bed & breakfast/guest house,,
84a39d3e-e998-4a6e-869c-b0f5e0ff5636,RBS,services,yes,false,,,,,,rules,,
ef322ab0-bb6f-47a8-8dc9-f7756dcc13d3,Shetland Community Bike Project,retail,yes,true,30,indoor,,,,rules,,
50cb3a19-0464-41d9-b4f5-7365f5ecb2b4,The Great Wall,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
c9a9f25f-39d4-43ce-9788-83352ef2b8e0,Anderson Butchers,retail,yes,false,,,,,,fsa:Manufacturers/packers,,
aedfc33e-0b80-425a-ab2f-db221da8ea4b,Da Haaf,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
1a8a2d3e-07c2-4f7f-80da-34b87179ae15,North Roe Post Office,services,yes,false,,,,,,rules,,
2bd8d00c-c4bc-4aca-b630-75e6db365cc8,Lerwick Fishery Office,services,yes,false,,,,,,rules,,
0c84fe37-e1cc-4d43-8c10-414ea5c960fd,Brae Post Office,services,yes,false,,,,,,rules,,
eee5b71e-d2c4-4162-ba6a-10345b1929c6,Healthcraft,retail,yes,true,30,indoor,,,,rules,,
211e3924-4918-46f5-91cf-558484f9ead8,Braewick Cafe,food_drink,yes,true,60,indoor,food_on_site,,,fsa:Restaurant/Cafe/Canteen,,
b10022a8-1f88-46f0-9841-192ad4acfabd,North Base Cafe,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
baf8f197-758b-4a32-9773-f0e014bdfb0a,RAF Saxa Vord Exhibition,tourism,yes,true,60,both,proper_visit,,,rules,,
839f6521-942f-406c-8cd4-292ed497d900,Skibhoul Stores,retail,yes,false,,,,,,fsa:Manufacturers/packers,,
bf9e574d-7aa0-408f-ae7f-1afeeb7a157f,Kiln Bar,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
ea6d5726-acd5-43c2-9610-fb6e6d5d040c,Hai Yang,food_drink,yes,true,15,indoor,quick_stop,,,fsa:Takeaway/sandwich shop,,
a18f7093-f505-4575-842b-82cf54162e5d,Dunrossness Post Office,services,yes,false,,,,,,rules,,
f7a8915a-a80b-467c-8c4b-ca42369471c0,Da Craft Shed,retail,yes,true,30,indoor,,,,rules,,
6ce8c083-8cfc-45ba-a43c-494b6b646023,Shetland Jewellery,retail,yes,true,30,indoor,,,,rules,,
275dc936-3af6-42f4-b43d-4c881bad352c,Outdoor Trek,retail,yes,true,30,indoor,,,,rules,,
13f3caa5-429c-43c7-b4c5-00c561ad114b,Jamieson’s Knitwear,retail,yes,true,30,indoor,,,,rules,,
ad9773a5-b420-42e6-92f4-511e61189148,RNLI Shop,retail,yes,true,30,indoor,,,,fsa:Retailers - other,,
4b01b686-0de7-48fc-9d76-acae328c84d7,Connie Lauren,retail,yes,true,30,indoor,,,,rules,,
99fdddf8-d1a7-46ab-90ba-47b26fa99a98,Conochies,food_drink,yes,true,30,indoor,,,,fsa:Retailers - other,,
b0e928bc-d62e-4db9-aaf4-c4b8e07a604e,Avril Thomson-Smith,retail,yes,true,30,indoor,,,,rules,,
aef1371e-be74-41bb-b961-ee3797cbc835,Shoes,retail,yes,true,30,indoor,,,,rules,,
40d9c014-ecf6-4f96-a625-04fe24a41eb4,No 88 Kitchen and Bar,food_drink,yes,true,60,indoor,food_on_site,,,fsa:Restaurant/Cafe/Canteen,,
20f5775c-b1ea-4938-9b1d-9d763916e619,J G Rae Ltd,retail,yes,true,30,indoor,,,,rules,,
7f7b4827-8a4f-4887-b829-5dbb585bba0d,Sound Service Station,retail,yes,true,30,indoor,,,,fsa:Retailers - other,,
e17553fc-d433-4e31-9fd8-c97ace1103c9,Bigton Community Shop,retail,yes,true,30,indoor,,,,fsa:Retailers - other,,
4d4f3093-8f9f-483b-bb5a-c7c252ff5d3c,Herrislea House Hotel,accommodation,yes,false,,,,,,rules,,
94dcf034-301a-4cc1-97f5-26b71a196762,Skellister Stores,retail,yes,true,30,indoor,,,,fsa:Retailers - other,,
765ee31e-1a99-4413-b95b-0a79bd3349cf,Setterbrae B&B,accommodation,yes,false,,,,,,rules,,
91206abb-3188-4520-90c4-2ceba4a1814c,Almara B&B,accommodation,yes,false,,,,,,rules,,
ce451c65-7d2c-4c65-a9a6-0a7a8b1730ff,Hair & Beauty Room,retail,yes,true,30,indoor,,,,rules,,
0a5dca13-c1ea-4995-bf3c-1eaa2075deee,Taste of China,food_drink,yes,true,15,indoor,quick_stop,,,fsa:Takeaway/sandwich shop,,
e5f9f4ed-1d9e-4e1e-a83d-a5abdf12baf4,Greystones Guesthouse,accommodation,yes,false,,,,,,rules,,
95fdc8cc-5c38-43ac-8368-f249d4e408b3,Mid Brae Inn,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
b1193096-2fad-46f8-9cd7-6db26a646c0f,Ollaberry Co-operative,retail,yes,true,30,indoor,,,,rules,,"A thriving general store owned and run by the local community offering a wide range of everyday items such as fresh fruit and vegetables, fresh bread and dairy,"
716ebf4e-7b05-42c9-b51b-691f64cf2769,Tagon Stores,retail,yes,true,30,indoor,,,,fsa:Retailers - other,,
d865a3b1-8e75-4cdd-b254-cb9d3ad396d3,Valleyfield Guest House,accommodation,yes,false,,,,,,rules,,
6cccb3c2-76b5-4b32-add9-25b5d54af2bf,Cullivoe Post Office,services,yes,false,,,,,,rules,,
b871f167-6e8d-4aeb-bff0-b1d689ca4053,Fjarå Coffee,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
d3243ad2-ebe9-477d-8950-5e47fbe187cc,Brae Hotel,accommodation,yes,false,,,,,,fsa:Hotel/bed & breakfast/guest house,,
78b5ba85-f04c-45b0-ba56-ed4be004f295,Vadsdal B&B,accommodation,yes,false,,,,,,rules,,
221a411d-bcd7-471d-be0a-02446015ccad,Northern Lights,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
3fdc34b5-6537-49dc-b03e-ae78a2a1aea6,Frankie's Fish & Chips,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
bc00cd84-6c1b-4713-b336-123f6029d812,Northern Lights lounge bar,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
110725df-57af-4f15-945f-bb4c1d864427,Quam B&B,accommodation,yes,false,,,,,,fsa:Hotel/bed & breakfast/guest house,,
40bc406f-4e43-4b2a-8bbd-1ff122c39f62,Valhalla Brewery,services,yes,false,,,,,,rules,,
24957a3f-7e77-46d3-aea0-460d891e8f0d,Saxa Vord resort,accommodation,yes,false,,,,,,rules,,
c4070f26-7606-4f32-8dd4-01b713587afb,Shetland Reel Distillery,tourism,yes,true,60,both,proper_visit,,,rules,,
83e28e23-5961-4fe4-99e6-24acec1c61b0,Viking Longhouse,tourism,yes,true,60,both,proper_visit,,,rules,,
8eab8422-570c-4460-998f-308c8f15733b,Independent Fuel Station,services,yes,false,,,,,,rules,,
bf3742f0-2b78-4963-99f5-9eb84fa374b5,Smugglers Cove Entrance,tourism,yes,true,60,both,proper_visit,,,rules,,
e7ce8ace-d703-46ab-91f4-7064fd0d669a,Made Here Chocalate,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
d7057399-2711-4f08-b006-c2b1fce4f508,Da Steak Hoose,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
d2cc74bc-5424-4e59-a4c1-b7237e78e97a,The Lounge,food_drink,yes,true,60,indoor,food_on_site,,,fsa:Restaurant/Cafe/Canteen,,
dc248705-0e8f-4879-b100-cef6a6b632dc,The Shetland Hotel,accommodation,yes,false,,,,,,fsa:Hotel/bed & breakfast/guest house,,
f83c67b1-c87a-483d-ad3d-de8ff91ef2e5,Golden Wok,food_drink,yes,true,15,indoor,quick_stop,,,fsa:Takeaway/sandwich shop,,
e3badc2c-9646-4e93-9e09-a3d3c79036c5,T L Dallas,services,yes,false,,,,,,rules,,
8ccdbc38-bbff-492d-8502-d48d5b79ce5d,Saffron,food_drink,yes,true,60,indoor,food_on_site,,,fsa:Restaurant/Cafe/Canteen,,
cee455f3-e5fe-4132-b032-0140665b54ee,Muddy Bay,retail,yes,true,30,indoor,,,,rules,,
284db5ac-7284-4633-88bb-305ddbd806c6,ITS,retail,yes,true,30,indoor,,,,rules,,
a98ce732-c462-4faf-ae69-56a50d96359e,Allied Taxis,services,yes,false,,,,,,rules,,
6bf83bda-98ca-4d8a-a9b6-d1c4e454abfe,Virkie Post Office,services,yes,false,,,,,,rules,,
78b7af84-0bac-4f08-a075-d2e9837cb01d,LJ's Diner and Pizzeria,food_drink,yes,true,60,indoor,food_on_site,,,rules,,
6b8e7c2d-d334-4dbd-b2c3-a8da24e10579,Hilltop Shop,retail,yes,true,30,indoor,,,,rules,,
9c5eeace-cd90-4d8a-adff-e1b845cd6c7a,Aithbank Camping Böd,accommodation,yes,false,,,,,,rules,,
